,0
1335,b'9367'
1336,b'8428'
1337,b'5727'
1338,b'8985'
1339,b'5742'
1340,b'137'
1341,b'5745'
1342,b'5746'
1343,b'7229'
1344,b'9165'
1345,b'7073'
1346,b'7386'
1347,b'1'
1348,b'5582'
1349,b'23'
1350,b'6847'
1351,b'407'
1352,b'4980'
1353,b'2157'
1354,b'2019'
1355,b'1374'
1356,b'4862'
1357,b'6449'
1358,b'2011'
1359,b'936'
1360,b'409'
1361,b'6417'
1362,b'5380'
1363,b'5381'
1364,b'5385'
1365,b'5386'
1366,b'5994'
1367,b'5997'
1368,b'5996'
1369,b'5991'
1370,b'5990'
1371,b'1952'
1372,b'1959'
1373,b'5998'
1374,b'7256'
1375,b'7252'
1376,b'7317'
1377,b'7446'
1378,b'7310'
1379,b'379'
1380,b'378'
1381,b'7526'
1382,b'1750'
1383,b'7524'
1384,b'371'
1385,b'827'
1386,b'372'
1387,b'375'
1388,b'8975'
1389,b'377'
1390,b'8977'
1391,b'178'
1392,b'6143'
1393,b'392'
1394,b'7032'
1395,b'89'
1396,b'7034'
1397,b'9011'
1398,b'9012'
1399,b'394'
1400,b'82'
1401,b'83'
1402,b'80'
1403,b'81'
1404,b'86'
1405,b'87'
1406,b'84'
1407,b'85'
1408,b'9384'
1409,b'9385'
1410,b'7015'
1411,b'1716'
1412,b'9137'
1413,b'173'
1414,b'1719'
1415,b'1718'
1416,b'5968'
1417,b'5846'
1418,b'7'
1419,b'5961'
1420,b'5963'
1421,b'5966'
1422,b'5848'
1423,b'8759'
1424,b'2280'
1425,b'1132'
1426,b'2283'
1427,b'244'
1428,b'148'
1429,b'242'
1430,b'7787'
1431,b'5969'
1432,b'615'
1433,b'2274'
1434,b'1435'
1435,b'7149'
1436,b'292'
1437,b'7141'
1438,b'293'
1439,b'290'
1440,b'8725'
1441,b'8724'
1442,b'8727'
1443,b'623'
1444,b'627'
1445,b'7205'
1446,b'1874'
1447,b'1873'
1448,b'179'
1449,b'1871'
1450,b'175'
1451,b'174'
1452,b'6921'
1453,b'171'
1454,b'170'
1455,b'7498'
1456,b'7492'
1457,b'4827'
1458,b'7490'
1459,b'6287'
1460,b'7496'
1461,b'4820'
1462,b'183'
1463,b'8617'
1464,b'8616'
1465,b'186'
1466,b'187'
1467,b'184'
1468,b'185'
1469,b'188'
1470,b'8619'
1471,b'8610'
1472,b'8374'
1473,b'5398'
1474,b'5782'
1475,b'6983'
1476,b'8612'
1477,b'8378'
1478,b'7351'
1479,b'1918'
1480,b'7352'
1481,b'5894'
1482,b'5895'
1483,b'5896'
1484,b'5898'
1485,b'5899'
1486,b'5106'
1487,b'1256'
1488,b'6403'
1489,b'12'
1490,b'5719'
1491,b'7210'
1492,b'5716'
1493,b'5715'
1494,b'5713'
1495,b'5712'
1496,b'5711'
1497,b'5710'
1498,b'6215'
1499,b'2020'
1500,b'7408'
1501,b'7405'
1502,b'9308'
1503,b'7406'
1504,b'7403'
1505,b'6810'
1506,b'153'
1507,b'9305'
1508,b'9053'
1509,b'357'
1510,b'1968'
1511,b'1965'
1512,b'1966'
1513,b'1967'
1514,b'1960'
1515,b'355'
1516,b'1963'
1517,b'322'
1518,b'323'
1519,b'320'
1520,b'321'
1521,b'326'
1522,b'327'
1523,b'5803'
1524,b'5802'
1525,b'328'
1526,b'329'
1527,b'5807'
1528,b'5805'
1529,b'5804'
1530,b'201'
1531,b'200'
1532,b'203'
1533,b'202'
1534,b'205'
1535,b'204'
1536,b'207'
1537,b'206'
1538,b'208'
1539,b'8296'
1540,b'77'
1541,b'74'
1542,b'7104'
1543,b'7105'
1544,b'79'
1545,b'7069'
1546,b'5891'
1547,b'2338'
1548,b'5444'
1549,b'5935'
1550,b'5934'
1551,b'5933'
1552,b'5932'
1553,b'7355'
1554,b'5939'
1555,b'5938'
1556,b'8254'
1557,b'6962'
1558,b'6965'
1559,b'6964'
1560,b'9472'
1561,b'8787'
1562,b'6007'
1563,b'6004'
1564,b'6005'
1565,b'8389'
1566,b'4675'
1567,b'8'
1568,b'6003'
1569,b'7195'
1570,b'7194'
1571,b'8430'
1572,b'7397'
1573,b'996'
1574,b'7391'
1575,b'1312'
1576,b'7392'
1577,b'5146'
1578,b'5145'
1579,b'999'
1580,b'998'
1581,b'5141'
1582,b'6914'
1583,b'121'
1584,b'6444'
1585,b'5750'
1586,b'6910'
1587,b'5756'
1588,b'126'
1589,b'367'
1590,b'2'
1591,b'5759'
1592,b'5758'
1593,b'8534'
1594,b'364'
1595,b'6448'
1596,b'5341'
1597,b'5590'
1598,b'5596'
1599,b'7449'
1600,b'8967'
1601,b'2214'
1602,b'4879'
1603,b'363'
1604,b'417'
1605,b'360'
1606,b'413'
1607,b'5744'
1608,b'6318'
1609,b'361'
1610,b'2148'
1611,b'318'
1612,b'7227'
1613,b'5394'
1614,b'6110'
1615,b'311'
1616,b'310'
1617,b'316'
1618,b'314'
1619,b'6709'
1620,b'8329'
1621,b'9309'
1622,b'1926'
1623,b'7228'
1624,b'8325'
1625,b'8805'
1626,b'8323'
1627,b'7246'
1628,b'7245'
1629,b'7381'
1630,b'7242'
1631,b'9152'
1632,b'8969'
1633,b'368'
1634,b'369'
1635,b'366'
1636,b'8962'
1637,b'8961'
1638,b'362'
1639,b'8966'
1640,b'8965'
1641,b'6212'
1642,b'7457'
1643,b'7224'
1644,b'380'
1645,b'9006'
1646,b'383'
1647,b'5322'
1648,b'385'
1649,b'9001'
1650,b'1745'
1651,b'388'
1652,b'389'
1653,b'7029'
1654,b'6170'
1655,b'6171'
1656,b'4758'
1657,b'7867'
1658,b'1729'
1659,b'1726'
1660,b'1724'
1661,b'5628'
1662,b'1722'
1663,b'1720'
1664,b'4757'
1665,b'5872'
1666,b'5873'
1667,b'5870'
1668,b'9004'
1669,b'8811'
1670,b'5875'
1671,b'5972'
1672,b'5878'
1673,b'1743'
1674,b'5975'
1675,b'8218'
1676,b'1075'
1677,b'386'
1678,b'5753'
1679,b'2292'
1680,b'8213'
1681,b'387'
1682,b'8215'
1683,b'7281'
1684,b'2294'
1685,b'60'
