Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G197,b1,C24,Spr16,6906,6965,mixture,C24 Spr16,7,6.5,03/31/2016,NA,04/20/2012,165.6,222.23,700,281,981
G198,b1,C24,Ts5,6906,6971,mixture,C24 Ts5,8,7,03/31/2016,NA,04/17/2012,204.6,204.60,647,356,1003
G199,b1,C24,Kz9,6906,6931,mixture,C24 Kz9,7,8,03/29/2016,03/31/2016,04/18/2012,151.7,172.50,536,656,1192
G200,b1,C24,An1,6906,6898,mixture,C24 An1,7,8.5,03/29/2016,03/20/2016,04/19/2012,137.6,167.98,911,453,1364
G201,b1,C24,Bay,6906,6899,mixture,C24 Bay,7.5,8,03/31/2016,03/24/2016,04/17/2012,177.8,177.80,630,819,1449
G202,b1,C24,Bil5,6906,6900,mixture,C24 Bil5,7,6,03/29/2016,NA,04/20/2012,75.8,132.43,692,98,790
G203,b1,C24,Bil7,6906,6901,mixture,C24 Bil7,8.5,5.5,03/29/2016,NA,04/19/2012,82.6,112.98,883,106,989
G204,b1,C24,Bor1,6906,5837,mixture,C24 Bor1,8,7,03/31/2016,04/05/2016,04/17/2012,242.6,242.60,676,490,1166
G205,b1,C24,Br0,6906,6904,mixture,C24 Br0,6.5,8.5,04/03/2016,NA,04/18/2012,207.3,228.10,446,688,1134
G206,b1,C24,Bur,6906,6905,mixture,C24 Bur,7,7.5,04/03/2016,04/05/2016,04/20/2012,114.2,170.83,549,579,1128
G207,b1,C24,C24,6906,6906,monoculture,C24 C24,6,6,04/03/2016,03/31/2016,04/20/2012,145.3,201.93,556,455,1011
G208,b1,C24,Col,6906,6909,mixture,C24 Col,7.5,10,03/27/2016,03/29/2016,04/20/2012,118.6,175.23,729,624,1353
G209,b1,C24,Ct,6906,6910,mixture,C24 Ct,8,7,03/29/2016,03/27/2016,04/18/2012,122.2,143.00,728,423,1151
G210,b1,C24,Ed1,6906,6009,mixture,C24 Ed1,7,7.5,03/27/2016,NA,04/18/2012,109.5,130.30,886,215,1101
G211,b1,C24,Ed2,6906,6913,mixture,C24 Ed2,7,6.5,04/03/2016,NA,04/18/2012,143.9,164.70,690,166,856
G212,b1,C24,Edi0,6906,6914,mixture,C24 Edi0,7,7,03/31/2016,NA,04/18/2012,179.6,200.40,617,390,1007
G213,b1,C24,Ei2,6906,6915,mixture,C24 Ei2,8.5,8,03/29/2016,04/05/2016,04/18/2012,161.2,182.00,706,466,1172
G214,b1,C24,Est,6906,6916,mixture,C24 Est,7.5,9,03/27/2016,03/27/2016,04/20/2012,163.3,219.93,714,571,1285
G215,b1,C24,Fab2,6906,6917,mixture,C24 Fab2,8,8,03/31/2016,NA,04/18/2012,179.4,200.20,804,298,1102
G216,b1,C24,Got22,6906,6920,mixture,C24 Got22,7,10,03/31/2016,NA,04/20/2012,150.6,207.23,483,510,993
G217,b1,C24,Got7,6906,6921,mixture,C24 Got7,NA,NA,03/29/2016,NA,04/18/2012,160.4,181.20,687,473,1160
G218,b1,C24,Gu0,6906,6922,mixture,C24 Gu0,7,7,03/31/2016,03/24/2016,04/20/2012,118.8,175.43,690,468,1158
G219,b1,C24,Kin,6906,6926,mixture,C24 Kin,7.5,7.5,03/29/2016,04/05/2016,04/18/2012,184.2,205.00,700,567,1267
G220,b1,C24,Kond,6906,6929,mixture,C24 Kond,8,9,03/31/2016,NA,04/18/2012,172.6,193.40,556,511,1067
G221,b1,C24,Ler,6906,6932,mixture,C24 Ler,7,7.5,04/03/2016,03/24/2016,04/17/2012,115.2,115.20,598,530,1128
G222,b1,C24,Lov1,6906,6043,mixture,C24 Lov1,8,6.5,03/31/2016,NA,04/20/2012,89.4,146.03,711,147,858
G223,b1,C24,Lov5,6906,6046,mixture,C24 Lov5,6.5,7.5,03/29/2016,NA,04/20/2012,87.6,144.23,673,183,856
G224,b1,C24,Lp22,6906,7520,mixture,C24 Lp22,8.5,8.5,03/29/2016,03/27/2016,04/19/2012,133.2,163.58,786,660,1446
G225,b1,C24,Lz,6906,6936,mixture,C24 Lz,7.5,9,03/27/2016,04/07/2016,04/20/2012,201.7,258.33,637,624,1261
G226,b1,C24,Mrk,6906,6937,mixture,C24 Mrk,6,8.5,03/31/2016,03/31/2016,04/19/2012,198.2,228.58,557,645,1202
G227,b1,C24,Mz,6906,6940,mixture,C24 Mz,8,5,03/31/2016,03/31/2016,04/19/2012,83.1,113.48,761,99,860
G228,b1,C24,Nd,6906,6942,mixture,C24 Nd,7,7,03/31/2016,03/24/2016,04/19/2012,177.9,208.28,800,631,1431
G229,b1,C24,Nok3,6906,6945,mixture,C24 Nok3,8,7,03/31/2016,NA,04/20/2012,130.5,187.13,663,434,1097
G230,b1,C24,Omo23,6906,7519,mixture,C24 Omo23,8.5,8,03/27/2016,NA,04/17/2012,231,231.00,743,373,1116
G231,b1,C24,Oy,6906,6946,mixture,C24 Oy,8,9,03/31/2016,03/31/2016,04/17/2012,264.8,264.80,526,764,1290
G232,b1,C24,Pna10,6906,7526,mixture,C24 Pna10,7.5,7,03/31/2016,NA,04/18/2012,160.8,181.60,611,404,1015
G233,b1,C24,Pna17,6906,7523,mixture,C24 Pna17,6.5,6.5,03/31/2016,NA,04/18/2012,198.3,219.10,647,333,980
G234,b1,C24,Pro,6906,8213,mixture,C24 Pro,8.5,10,03/31/2016,03/22/2016,04/19/2012,111.2,141.58,638,467,1105
G235,b1,C24,Ra,6906,6958,mixture,C24 Ra,7.5,8.5,03/31/2016,03/24/2016,04/20/2012,134.8,191.43,695,667,1362
G236,b1,C24,Ren1,6906,6959,mixture,C24 Ren1,7.5,6,03/31/2016,04/05/2016,04/18/2012,185.7,206.50,734,344,1078
G237,b1,C24,Ren11,6906,6960,mixture,C24 Ren11,7,7,03/29/2016,03/27/2016,04/17/2012,203.3,203.30,708,552,1260
G238,b1,C24,Rmx2,6906,7524,mixture,C24 Rmx2,6.5,8,03/31/2016,NA,04/20/2012,162.3,218.93,563,382,945
G239,b1,NA,NA,NA,NA,monoculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G240,b1,C24,Rrs7,6906,7514,mixture,C24 Rrs7,6.5,6.5,04/03/2016,NA,04/18/2012,186.4,207.20,581,465,1046
G241,b1,C24,Se,6906,6961,mixture,C24 Se,7.5,9.5,03/29/2016,NA,04/20/2012,130.4,187.03,725,500,1225
G242,b1,C24,Sha,6906,6962,mixture,C24 Sha,7,7.5,04/03/2016,03/24/2016,04/20/2012,122.2,178.83,473,685,1158
G243,b1,C24,Sorbo,6906,6963,mixture,C24 Sorbo,7,8,03/29/2016,NA,04/17/2012,196.4,196.40,748,484,1232
G244,b1,C24,Tamm2,6906,6968,mixture,C24 Tamm2,8,6.5,03/27/2016,NA,04/20/2012,103.2,159.83,956,242,1198
G245,b1,C24,Tamm27,6906,6969,mixture,C24 Tamm27,6,8,03/31/2016,NA,04/19/2012,106.7,137.08,529,379,908
G246,b1,C24,Ts1,6906,6970,mixture,C24 Ts1,7.5,7,03/31/2016,04/05/2016,04/20/2012,160.4,217.03,731,446,1177
G247,b1,C24,Tsu1,6906,6972,mixture,C24 Tsu1,7.5,8,03/29/2016,03/31/2016,04/19/2012,162,192.38,646,741,1387
G248,b1,C24,Ull23,6906,6973,mixture,C24 Ull23,7.5,8,03/29/2016,03/27/2016,04/18/2012,162.1,182.90,616,726,1342
G249,b1,C24,Uod1,6906,6975,mixture,C24 Uod1,7.5,7,04/03/2016,03/31/2016,04/19/2012,159.6,189.98,508,413,921
G250,b1,C24,Uod7,6906,6976,mixture,C24 Uod7,8,7,03/31/2016,NA,04/17/2012,188,188.00,705,386,1091
G251,b1,C24,Van,6906,6977,mixture,C24 Van,7,7,03/31/2016,03/29/2016,04/20/2012,110.7,167.33,435,403,838
G252,b1,C24,Var21,6906,7516,mixture,C24 Var21,7,6,03/31/2016,NA,04/18/2012,140.2,161.00,784,259,1043
G253,b1,C24,Var26,6906,7517,mixture,C24 Var26,7.5,7,03/31/2016,NA,04/20/2012,132.9,189.53,826,229,1055
G254,b1,C24,Wa,6906,6978,mixture,C24 Wa,7,9,03/31/2016,03/20/2016,04/18/2012,103,123.80,615,474,1089
G255,b1,C24,Wie,6906,6979,mixture,C24 Wie,7.5,9,03/31/2016,03/20/2016,04/18/2012,97.3,118.10,580,469,1049
G256,b1,C24,Ws0,6906,6980,mixture,C24 Ws0,7.5,6.5,03/27/2016,NA,04/18/2012,199.1,219.90,760,411,1171
G257,b1,C24,Ws2,6906,6981,mixture,C24 Ws2,7.5,7,03/31/2016,03/22/2016,04/17/2012,161,161.00,756,437,1193
G258,b1,C24,Wt5,6906,6982,mixture,C24 Wt5,7,9.5,03/29/2016,04/05/2016,04/19/2012,181.1,211.48,536,670,1206
G259,b1,C24,Yo,6906,6983,mixture,C24 Yo,8,7.5,03/29/2016,NA,04/20/2012,145.3,201.93,612,418,1030
G260,b1,C24,Zdr,6906,6984,mixture,C24 Zdr,6.5,6,03/31/2016,03/27/2016,04/19/2012,131.8,162.18,757,472,1229
G261,b1,C24,Sav,6906,8412,mixture,C24 Sav,6.5,6,03/29/2016,03/20/2016,04/17/2012,149.7,149.70,840,485,1325
G262,b1,C24,Uk,6906,7378,mixture,C24 Uk,7,9,03/31/2016,NA,04/17/2012,196.1,196.10,791,606,1397
G263,b1,C24,Sf2,6906,7328,mixture,C24 Sf2,7,6,03/31/2016,NA,04/17/2012,179.9,179.90,888,365,1253
G264,b1,C24,St0,6906,8387,mixture,C24 St0,7.5,9,03/29/2016,03/31/2016,04/19/2012,169.6,199.98,607,783,1390
G265,b1,C24,Cvi,6906,6911,mixture,C24 Cvi,7,6,04/03/2016,03/20/2016,04/18/2012,150.1,170.90,780,208,988
G266,b1,C24,Ci17,6906,6907,mixture,C24 Ci17,7,7,03/31/2016,NA,04/19/2012,155.7,186.08,577,513,1090
G267,b1,C24,Kno10,6906,6927,mixture,C24 Kno10,8.5,7,03/29/2016,NA,04/19/2012,211.7,242.08,758,406,1164
G268,b1,C24,Lp26,6906,7521,mixture,C24 Lp26,8.5,8.5,03/29/2016,04/12/2016,04/18/2012,159.2,180.00,644,560,1204
G269,b1,C24,Pu27,6906,6956,mixture,C24 Pu27,8,6,03/29/2016,NA,04/17/2012,143.7,143.70,691,324,1015
G270,b1,C24,Sq1,6906,6966,mixture,C24 Sq1,6.5,8,03/31/2016,NA,04/18/2012,173.1,193.90,613,462,1075
G271,b1,C24,Ull25,6906,6974,mixture,C24 Ull25,8.5,8,03/29/2016,03/31/2016,04/18/2012,164.9,185.70,692,541,1233
G272,b1,C24,Ag,6906,6897,mixture,C24 Ag,8.5,7,03/29/2016,NA,04/17/2012,177.3,177.30,860,445,1305
G273,b1,C24,Gy,6906,8214,mixture,C24 Gy,8,6,03/29/2016,04/10/2016,04/18/2012,145.2,166.00,884,259,1143
G274,b1,C24,Bor4,6906,6903,mixture,C24 Bor4,6,7.5,04/03/2016,04/05/2016,04/20/2012,172.4,229.03,358,763,1121
G275,b1,C24,Fab4,6906,6918,mixture,C24 Fab4,8,6,03/29/2016,NA,04/17/2012,173,173.00,1064,173,1237
G276,b1,C24,Ga,6906,6919,mixture,C24 Ga,8.5,7,03/31/2016,04/05/2016,04/20/2012,111.4,168.03,499,337,836
G277,b1,C24,Kno18,6906,6928,mixture,C24 Kno18,6,4.5,04/03/2016,NA,04/19/2012,134.5,164.88,631,285,916
G278,b1,C24,Mt0,6906,6939,mixture,C24 Mt0,8,8.5,03/31/2016,03/24/2016,04/18/2012,144.6,165.40,603,692,1295
G279,b1,C24,Omo21,6906,7518,mixture,C24 Omo21,6,7,04/03/2016,NA,04/18/2012,166.9,187.70,556,337,893
G280,b1,C24,Pu223,6906,6951,mixture,C24 Pu223,7.5,6.5,04/03/2016,04/03/2016,04/19/2012,177.9,208.28,680,504,1184
G281,b1,C24,Rrs10,6906,7515,mixture,C24 Rrs10,8,7.5,03/29/2016,NA,04/18/2012,160.9,181.70,752,408,1160
G282,b1,C24,Fei,6906,8215,mixture,C24 Fei,8,10,03/31/2016,03/27/2016,04/18/2012,244.4,265.20,866,738,1604
G283,b1,C24,Kas,6906,8424,mixture,C24 Kas,7,10,03/31/2016,NA,04/19/2012,132.3,162.68,684,712,1396
G284,b1,C24,No,6906,7275,mixture,C24 No,7.5,9,03/31/2016,03/20/2016,04/18/2012,168,188.80,732,545,1277
G285,b1,C24,Bla1,6906,8264,mixture,C24 Bla1,8,10,03/29/2016,NA,04/17/2012,98,98.00,731,283,1014
G286,b1,C24,Can,6906,8274,mixture,C24 Can,7,7.5,03/31/2016,NA,04/19/2012,180.3,210.68,722,441,1163
G287,b1,C24,Ge,6906,8297,mixture,C24 Ge,7,8,03/31/2016,NA,04/17/2012,176.9,176.90,678,417,1095
G288,b1,C24,Wil2,6906,7413,mixture,C24 Wil2,7,7,03/27/2016,03/22/2016,04/20/2012,103.2,159.83,741,533,1274
G289,b1,Bay,Ci5,6899,6908,mixture,Bay Ci5,8,5.5,03/22/2016,04/12/2016,04/18/2012,219.9,240.70,810,399,1209
G290,b1,Bay,Ll0,6899,6933,mixture,Bay Ll0,8,6,03/22/2016,04/12/2016,04/19/2012,132.4,162.78,756,205,961
G291,b1,Bay,Nfa10,6899,6943,mixture,Bay Nfa10,7.5,7,03/27/2016,03/31/2016,04/18/2012,147.8,168.60,786,370,1156
G292,b1,Bay,Nfa8,6899,6944,mixture,Bay Nfa8,9.5,8.5,03/24/2016,03/27/2016,04/18/2012,172.7,193.50,884,320,1204
G293,b1,Bay,Spr16,6899,6965,mixture,Bay Spr16,9.5,7,03/22/2016,NA,04/18/2012,197.2,218.00,1017,296,1313
G294,b1,Bay,Ts5,6899,6971,mixture,Bay Ts5,8,7,03/24/2016,NA,04/19/2012,213.6,243.98,661,323,984
G295,b1,Bay,Kz9,6899,6931,mixture,Bay Kz9,7.5,7,03/24/2016,04/05/2016,04/20/2012,134.7,191.33,668,504,1172
G296,b1,Bay,An1,6899,6898,mixture,Bay An1,7.5,6.5,03/27/2016,03/20/2016,04/20/2012,159.6,216.23,833,290,1123
G297,b1,Bay,Bay,6899,6899,monoculture,Bay Bay,9,8,03/22/2016,03/22/2016,04/19/2012,109.1,139.48,932,613,1545
G298,b1,Bay,Bil5,6899,6900,mixture,Bay Bil5,9,6,03/20/2016,NA,04/20/2012,121.8,178.43,1149,101,1250
G299,b1,Bay,Bil7,6899,6901,mixture,Bay Bil7,8,6,03/24/2016,NA,04/20/2012,109.6,166.23,903,88,991
G300,b1,Bay,Bor1,6899,5837,mixture,Bay Bor1,9,7,03/20/2016,04/03/2016,04/19/2012,143,173.38,957,584,1541
G301,b1,Bay,Br0,6899,6904,mixture,Bay Br0,8,8,03/22/2016,NA,04/18/2012,200.8,221.60,764,634,1398
G302,b1,Bay,Bur,6899,6905,mixture,Bay Bur,9.5,9,03/22/2016,04/05/2016,04/18/2012,186.9,207.70,939,657,1596
G303,b1,Bay,C24,6899,6906,mixture,Bay C24,9.5,8.5,03/22/2016,03/29/2016,04/19/2012,118.6,148.98,842,570,1412
G304,b1,Bay,Col,6899,6909,mixture,Bay Col,9.5,8.5,03/22/2016,03/27/2016,04/17/2012,126.1,126.10,723,603,1326
G305,b1,Bay,Ct,6899,6910,mixture,Bay Ct,9,8.5,03/22/2016,03/24/2016,04/18/2012,187.7,208.50,863,611,1474
G306,b1,Bay,Ed1,6899,6009,mixture,Bay Ed1,7.5,6.5,03/24/2016,NA,04/19/2012,152.5,182.88,1056,195,1251
G307,b1,Bay,Ed2,6899,6913,mixture,Bay Ed2,9,7,03/22/2016,NA,04/17/2012,156.2,156.20,907,147,1054
G308,b1,Bay,Edi0,6899,6914,mixture,Bay Edi0,9,7.5,03/22/2016,NA,04/19/2012,192,222.38,894,377,1271
G309,b1,Bay,Ei2,6899,6915,mixture,Bay Ei2,9,7.5,03/20/2016,04/05/2016,04/19/2012,205.9,236.28,798,536,1334
G310,b1,Bay,Est,6899,6916,mixture,Bay Est,7,9,03/24/2016,03/24/2016,04/20/2012,125,181.63,694,455,1149
G311,b1,Bay,Fab2,6899,6917,mixture,Bay Fab2,9.5,8,03/22/2016,NA,04/19/2012,164.6,194.98,941,290,1231
G312,b1,Bay,Got22,6899,6920,mixture,Bay Got22,8.5,9.5,03/22/2016,NA,04/20/2012,128.7,185.33,814,387,1201
G313,b1,Bay,Got7,6899,6921,mixture,Bay Got7,8.5,8.5,03/22/2016,NA,04/20/2012,174.8,231.43,814,305,1119
G314,b1,Bay,Gu0,6899,6922,mixture,Bay Gu0,8.5,6.5,03/22/2016,03/24/2016,04/20/2012,133.9,190.53,805,369,1174
G315,b1,Bay,NA,6899,NA,single,Bay,9,NA,03/22/2016,NA,04/20/2012,77.2,133.83,921,NA,NA
G316,b1,Bay,Kond,6899,6929,mixture,Bay Kond,7.5,9,03/22/2016,04/07/2016,04/20/2012,200.5,257.13,611,673,1284
G317,b1,Bay,Ler,6899,6932,mixture,Bay Ler,8.5,7.5,03/22/2016,03/22/2016,04/18/2012,201.6,222.40,921,418,1339
G318,b1,Bay,Lov1,6899,6043,mixture,Bay Lov1,8.5,7,03/20/2016,NA,04/20/2012,112.7,169.33,886,149,1035
G319,b1,Bay,Lov5,6899,6046,mixture,Bay Lov5,7.5,4,03/24/2016,NA,04/18/2012,131.6,152.40,1016,82,1098
G320,b1,Bay,Lp22,6899,7520,mixture,Bay Lp22,8,8.5,03/22/2016,03/27/2016,04/18/2012,171.9,192.70,805,603,1408
G321,b1,Bay,Lz,6899,6936,mixture,Bay Lz,9,9,03/20/2016,04/10/2016,04/18/2012,243.9,264.70,686,561,1247
G322,b1,Bay,Mrk,6899,6937,mixture,Bay Mrk,9,10,03/22/2016,03/29/2016,04/18/2012,269.9,290.70,821,842,1663
G323,b1,Bay,Mz,6899,6940,mixture,Bay Mz,8.5,6.5,03/24/2016,03/24/2016,04/18/2012,135.2,156.00,839,199,1038
G324,b1,Bay,Nd,6899,6942,mixture,Bay Nd,8,8.5,03/24/2016,03/27/2016,04/19/2012,194.9,225.28,945,488,1433
G325,b1,Bay,Nok3,6899,6945,mixture,Bay Nok3,8.5,8,03/22/2016,NA,04/20/2012,141.1,197.73,781,409,1190
G326,b1,Bay,Omo23,6899,7519,mixture,Bay Omo23,8.5,7,03/20/2016,NA,04/20/2012,123.3,179.93,792,331,1123
G327,b1,Bay,Oy,6899,6946,mixture,Bay Oy,7.5,8,03/24/2016,03/31/2016,04/20/2012,209.4,266.03,665,593,1258
G328,b1,Bay,Pna10,6899,7526,mixture,Bay Pna10,9,7.5,03/22/2016,NA,04/18/2012,199.6,220.40,869,395,1264
G329,b1,Bay,Pna17,6899,7523,mixture,Bay Pna17,7.5,5.5,03/22/2016,NA,04/19/2012,139.3,169.68,835,248,1083
G330,b1,Bay,Pro,6899,8213,mixture,Bay Pro,9,8,03/24/2016,03/24/2016,04/19/2012,155.3,185.68,1071,407,1478
G331,b1,Bay,Ra,6899,6958,mixture,Bay Ra,7,9,03/27/2016,03/27/2016,04/17/2012,201.7,201.70,754,560,1314
G332,b1,Bay,Ren1,6899,6959,mixture,Bay Ren1,8,6,03/24/2016,04/05/2016,04/18/2012,173.5,194.30,808,322,1130
G333,b1,Bay,NA,6899,NA,single,Bay,8.5,NA,03/24/2016,NA,04/20/2012,132.4,189.03,1143,NA,NA
G334,b1,Bay,Rmx2,6899,7524,mixture,Bay Rmx2,8.5,7,03/22/2016,NA,04/18/2012,189,209.80,861,447,1308
G335,b1,Bay,Rmx180,6899,7525,mixture,Bay Rmx180,8.5,7,03/22/2016,04/10/2016,04/18/2012,205.1,225.90,842,467,1309
G336,b1,Bay,Rrs7,6899,7514,mixture,Bay Rrs7,10,7.5,03/22/2016,NA,04/19/2012,150.1,180.48,932,388,1320
G337,b1,Bay,Se,6899,6961,mixture,Bay Se,8.5,9,03/22/2016,NA,04/20/2012,139,195.63,777,382,1159
G338,b1,Bay,Sha,6899,6962,mixture,Bay Sha,9.5,7.5,03/22/2016,03/31/2016,04/19/2012,133.3,163.68,457,928,1385
G339,b1,Bay,Sorbo,6899,6963,mixture,Bay Sorbo,8.5,9,03/22/2016,04/10/2016,04/19/2012,167.4,197.78,704,505,1209
G340,b1,Bay,Tamm2,6899,6968,mixture,Bay Tamm2,8.5,7,03/22/2016,NA,04/19/2012,127.3,157.68,861,200,1061
G341,b1,Bay,Tamm27,6899,6969,mixture,Bay Tamm27,8.5,7.5,03/24/2016,NA,04/19/2012,139.6,169.98,872,240,1112
G342,b1,Bay,Ts1,6899,6970,mixture,Bay Ts1,10,8,03/22/2016,04/10/2016,04/18/2012,186.9,207.70,1082,314,1396
G343,b1,Bay,Tsu1,6899,6972,mixture,Bay Tsu1,8,9.5,03/22/2016,03/29/2016,04/17/2012,250.1,250.10,818,669,1487
G344,b1,Bay,Ull23,6899,6973,mixture,Bay Ull23,7,7,03/27/2016,03/29/2016,04/19/2012,180.9,211.28,714,617,1331
G345,b1,Bay,Uod1,6899,6975,mixture,Bay Uod1,10,8,03/20/2016,03/27/2016,04/19/2012,176,206.38,1068,482,1550
G346,b1,Bay,Uod7,6899,6976,mixture,Bay Uod7,8.5,7,03/20/2016,NA,04/17/2012,159.7,159.70,728,340,1068
G347,b1,Bay,Van,6899,6977,mixture,Bay Van,8,6.5,03/24/2016,03/29/2016,04/20/2012,102.6,159.23,843,335,1178
G348,b1,Bay,Var21,6899,7516,mixture,Bay Var21,6.5,4,03/27/2016,NA,04/19/2012,152,182.38,1042,129,1171
G349,b1,Bay,Var26,6899,7517,mixture,Bay Var26,8.5,7,03/22/2016,NA,04/19/2012,152.9,183.28,1067,199,1266
G350,b1,Bay,Wa,6899,6978,mixture,Bay Wa,9,7.5,03/22/2016,03/27/2016,04/20/2012,136.3,192.93,967,298,1265
G351,b1,Bay,Wie,6899,6979,mixture,Bay Wie,8,8.5,03/22/2016,03/20/2016,04/19/2012,153,183.38,940,462,1402
G352,b1,Bay,Ws0,6899,6980,mixture,Bay Ws0,8,9.5,03/24/2016,NA,04/19/2012,157.6,187.98,678,630,1308
G353,b1,Bay,Ws2,6899,6981,mixture,Bay Ws2,6.5,7,03/27/2016,03/22/2016,04/19/2012,124,154.38,850,398,1248
G354,b1,Bay,Wt5,6899,6982,mixture,Bay Wt5,8,6.5,03/22/2016,04/03/2016,04/18/2012,148.8,169.60,849,369,1218
G355,b1,Bay,Yo,6899,6983,mixture,Bay Yo,7,7,03/27/2016,NA,04/20/2012,138.9,195.53,633,479,1112
G356,b1,Bay,Zdr,6899,6984,mixture,Bay Zdr,8.5,7.5,03/20/2016,03/27/2016,04/17/2012,125.2,125.20,750,456,1206
G357,b1,Bay,Sav,6899,8412,mixture,Bay Sav,8.5,7.5,03/22/2016,03/20/2016,04/17/2012,197.4,197.40,947,284,1231
G358,b1,Bay,Uk,6899,7378,mixture,Bay Uk,9.5,8,03/20/2016,NA,04/19/2012,160.3,190.68,806,450,1256
G359,b1,Bay,Sf2,6899,7328,mixture,Bay Sf2,9.5,11.5,03/20/2016,04/12/2016,04/17/2012,215.5,215.50,706,611,1317
G360,b1,Bay,St0,6899,8387,mixture,Bay St0,9,8.5,03/24/2016,04/03/2016,04/19/2012,154.1,184.48,792,566,1358
G361,b1,Bay,Cvi,6899,6911,mixture,Bay Cvi,9,5,03/22/2016,03/20/2016,04/19/2012,150.1,180.48,1113,115,1228
G362,b1,Bay,Ci17,6899,6907,mixture,Bay Ci17,8.5,6.5,03/22/2016,NA,04/18/2012,225.2,246.00,702,448,1150
G363,b1,Bay,Kno10,6899,6927,mixture,Bay Kno10,8,6,03/24/2016,NA,04/18/2012,200.3,221.10,868,311,1179
G364,b1,Bay,Lp26,6899,7521,mixture,Bay Lp26,8.5,7,03/24/2016,04/12/2016,04/18/2012,151,171.80,665,449,1114
G365,b1,Bay,Pu27,6899,6956,mixture,Bay Pu27,9,6.5,03/22/2016,NA,04/19/2012,174.6,204.98,1000,272,1272
G366,b1,Bay,Sq1,6899,6966,mixture,Bay Sq1,9,9,03/22/2016,NA,04/19/2012,191.3,221.68,736,433,1169
G367,b1,Bay,Ull25,6899,6974,mixture,Bay Ull25,9,8,03/22/2016,03/29/2016,04/18/2012,189.4,210.20,690,561,1251
G368,b1,Bay,Ag,6899,6897,mixture,Bay Ag,8.5,6,03/20/2016,NA,04/18/2012,165.8,186.60,809,319,1128
G369,b1,Bay,Gy,6899,8214,mixture,Bay Gy,8,8,03/22/2016,04/03/2016,04/20/2012,123.5,180.13,894,249,1143
G370,b1,Bay,Bor4,6899,6903,mixture,Bay Bor4,8,8,03/22/2016,04/03/2016,04/20/2012,173.9,230.53,714,561,1275
G371,b1,Bay,Fab4,6899,6918,mixture,Bay Fab4,8.5,6.5,03/20/2016,NA,04/19/2012,135.2,165.58,916,142,1058
G372,b1,Bay,Ga,6899,6919,mixture,Bay Ga,9,7,03/22/2016,04/03/2016,04/18/2012,185.4,206.20,778,381,1159
G373,b1,Bay,Kno18,6899,6928,mixture,Bay Kno18,8,8.5,03/20/2016,NA,04/19/2012,175.3,205.68,649,565,1214
G374,b1,Bay,Mt0,6899,6939,mixture,Bay Mt0,8,7,03/22/2016,03/24/2016,04/20/2012,136.1,192.73,831,511,1342
G375,b1,Bay,Omo21,6899,7518,mixture,Bay Omo21,10,9,03/22/2016,NA,04/18/2012,184.8,205.60,878,334,1212
G376,b1,Bay,Pu223,6899,6951,mixture,Bay Pu223,10,5.5,03/22/2016,04/03/2016,04/20/2012,129.9,186.53,986,265,1251
G377,b1,Bay,Rrs10,6899,7515,mixture,Bay Rrs10,8.5,6,03/22/2016,NA,04/20/2012,128.7,185.33,732,301,1033
G378,b1,Bay,Fei,6899,8215,mixture,Bay Fei,8,10,03/22/2016,03/27/2016,04/17/2012,185.4,185.40,754,694,1448
G379,b1,Bay,Kas,6899,8424,mixture,Bay Kas,8.5,8,03/20/2016,NA,04/19/2012,150.1,180.48,720,483,1203
G380,b1,Bay,No,6899,7275,mixture,Bay No,8,8.5,03/22/2016,03/20/2016,04/18/2012,177.2,198.00,811,533,1344
G381,b1,Bay,Bla1,6899,8264,mixture,Bay Bla1,8.5,8.5,03/22/2016,NA,04/18/2012,255.3,276.10,1135,303,1438
G382,b1,Bay,Can,6899,8274,mixture,Bay Can,8,6.5,03/27/2016,NA,04/20/2012,152.4,209.03,830,335,1165
G383,b1,Bay,Ge,6899,8297,mixture,Bay Ge,8,8.5,03/22/2016,NA,04/18/2012,182,202.80,690,477,1167
G384,b1,Bay,Wil2,6899,7413,mixture,Bay Wil2,6.5,8,03/27/2016,03/24/2016,04/17/2012,198,198.00,805,687,1492
G385,b1,Sha,Ci5,6962,6908,mixture,Sha Ci5,5.5,5.5,04/03/2016,04/03/2016,04/18/2012,163.4,184.20,521,619,1140
G386,b1,Sha,Ll0,6962,6933,mixture,Sha Ll0,7.5,7,03/27/2016,04/10/2016,04/18/2012,128.2,149.00,731,355,1086
G387,b1,Sha,Nfa10,6962,6943,mixture,Sha Nfa10,7.5,8,03/27/2016,03/31/2016,04/17/2012,215.5,215.50,705,525,1230
G388,b1,Sha,Nfa8,6962,6944,mixture,Sha Nfa8,7.5,8.5,03/29/2016,03/27/2016,04/20/2012,120.8,177.43,494,331,825
G389,b1,Sha,Spr16,6962,6965,mixture,Sha Spr16,9,7,03/29/2016,NA,04/17/2012,317.6,317.60,966,324,1290
G390,b1,Sha,Ts5,6962,6971,mixture,Sha Ts5,7,5,03/27/2016,NA,04/17/2012,102,102.00,703,375,1078
