Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G1213,b2,Ler,Var26,6932,7517,mixture,Ler Var26,6.5,9,03/27/2016,NA,NA,NA,NA,545,250,795
G1214,b2,Ler,Wa,6932,6978,mixture,Ler Wa,6,8,03/27/2016,03/24/2016,04/21/2012,88.8,151.64,333,500,833
G1215,b2,Ler,Wie,6932,6979,mixture,Ler Wie,7,9,03/22/2016,03/20/2016,04/21/2012,91,153.84,459,585,1044
G1216,b2,Ler,Ws0,6932,6980,mixture,Ler Ws0,8,10,03/27/2016,NA,04/21/2012,155,217.84,425,561,986
G1217,b2,Ler,Ws2,6932,6981,mixture,Ler Ws2,7.5,8.5,03/27/2016,03/20/2016,NA,NA,NA,565,565,1130
G1218,b2,Ler,Wt5,6932,6982,mixture,Ler Wt5,7.5,8.5,03/27/2016,04/03/2016,NA,NA,NA,392,449,841
G1219,b2,Ler,Yo,6932,6983,mixture,Ler Yo,6,6.5,03/27/2016,NA,04/20/2012,93.1,149.73,319,367,686
G1220,b2,Ler,Zdr,6932,6984,mixture,Ler Zdr,7,7.5,03/27/2016,03/27/2016,NA,NA,NA,NA,426,NA
G1221,b2,Ler,Sav,6932,8412,mixture,Ler Sav,8,9,03/27/2016,03/20/2016,NA,NA,NA,508,420,928
G1222,b2,Ler,Uk,6932,7378,mixture,Ler Uk,8,9.5,03/24/2016,04/10/2016,NA,NA,NA,404,568,972
